Sex,Length,Weight
Female,69,245
Female,74.9,280
Male,79.1,320
Male,88.5,540
Male,76.1,380
Male,62,140
Male,90.6,560
Male,61.5,180
Male,77,300
Male,65.6,180
Female,81.2,260
Female,98.9,640
Female,83.3,400
Female,93.6,550
Female,74.9,280
Male,89.5,460
Male,110.4,900
Male,75,300
Male,118.7,1060
Male,82.2,340
Male,110.4,900
Male,79,320
,,
Female,63.5,200
Female,84.1,380
Female,68.7,240
Male,86.5,410
Male,83.3,380
Male,75,300
Male,84.3,400
Male,89.5,470
Male,86.4,420
Male,75.1,280
,,
,,
,,
,,
,,
,,
,,
,,
Female,59.4,190
Female,69.8,240
Female,76,300
Male,72,320
Male,75,300
Male,74,300
Male,80.2,340
